timestamp,sender_account,sender_name,receiver_account,receiver_name,amount,channel,upi_ref
2025-11-12T23:46:39,SBI ****1188,Sunil Yadav,PNB ****3391,Farhan Ali,104657,UPI,427674151042
2025-11-16T11:50:07,HDFC ****4471,Rahul Sharma,ICICI ****9930,Amit Khan,329046,IMPS,IMPS/REF776805
2025-11-19T01:33:31,ICICI ****9930,Amit Khan,SBI ****1188,Sunil Yadav,246335,UPI,448790082603
2025-11-24T00:46:39,ICICI ****9930,Amit Khan,HDFC ****8804 · MP Traders,MP Traders,229309,NEFT,NEFT/REF698394
2025-11-26T17:33:22,HDFC ****8804 · MP Traders,MP Traders,HDFC ****4471,Rahul Sharma,129061,NEFT,NEFT/REF264108
2025-11-28T22:16:48,HDFC ****8804 · MP Traders,MP Traders,HDFC ****4471,Rahul Sharma,302698,NEFT,NEFT/REF552037
2025-12-01T17:00:28,ICICI ****9930,Amit Khan,HDFC ****8804 · MP Traders,MP Traders,215881,NEFT,NEFT/REF745882
2025-12-02T22:10:49,SBI ****1188,Sunil Yadav,Kotak ****7742,Deepak Verma,76047,IMPS,IMPS/REF695670
2025-12-04T02:11:17,HDFC ****8804 · MP Traders,MP Traders,HDFC ****4471,Rahul Sharma,230961,NEFT,NEFT/REF558680
2025-12-04T08:57:52,SBI ****1188,Sunil Yadav,PNB ****3391,Farhan Ali,71393,UPI,421089831900
2025-12-05T22:44:52,ICICI ****9930,Amit Khan,SBI ****1188,Sunil Yadav,247439,UPI,460936965524
2025-12-15T22:12:42,ICICI ****9930,Amit Khan,HDFC ****8804 · MP Traders,MP Traders,178733,NEFT,NEFT/REF659504
2025-12-16T15:58:07,SBI ****1188,Sunil Yadav,Kotak ****7742,Deepak Verma,75912,IMPS,IMPS/REF751870
2025-12-17T00:48:05,HDFC ****4471,Rahul Sharma,ICICI ****9930,Amit Khan,375222,IMPS,IMPS/REF621056
2025-12-21T07:57:01,HDFC ****4471,Rahul Sharma,ICICI ****9930,Amit Khan,296522,IMPS,IMPS/REF633289
2025-12-26T23:18:57,SBI ****1188,Sunil Yadav,PNB ****3391,Farhan Ali,94851,UPI,487988932750
2025-12-29T21:30:32,HDFC ****4471,Rahul Sharma,ICICI ****9930,Amit Khan,247210,IMPS,IMPS/REF349065
2026-01-02T04:32:17,SBI ****1188,Sunil Yadav,PNB ****3391,Farhan Ali,91270,UPI,430791579461
2026-01-04T19:37:14,ICICI ****9930,Amit Khan,SBI ****1188,Sunil Yadav,236192,UPI,401531917864
2026-01-06T13:37:08,SBI ****1188,Sunil Yadav,PNB ****3391,Farhan Ali,110921,UPI,429463738583
2026-01-14T13:37:30,ICICI ****9930,Amit Khan,SBI ****1188,Sunil Yadav,296079,UPI,496825888278
2026-01-17T02:30:33,ICICI ****9930,Amit Khan,SBI ****1188,Sunil Yadav,345126,UPI,492704392325
2026-01-18T14:48:55,ICICI ****9930,Amit Khan,SBI ****1188,Sunil Yadav,263550,UPI,488762968067
2026-01-21T09:59:49,HDFC ****4471,Rahul Sharma,ICICI ****9930,Amit Khan,345212,IMPS,IMPS/REF333905
2026-01-22T21:18:26,SBI ****1188,Sunil Yadav,Kotak ****7742,Deepak Verma,77308,IMPS,IMPS/REF254538
2026-01-27T22:15:44,HDFC ****8804 · MP Traders,MP Traders,HDFC ****4471,Rahul Sharma,210767,NEFT,NEFT/REF821132
2026-02-05T21:29:32,SBI ****1188,Sunil Yadav,Kotak ****7742,Deepak Verma,60448,IMPS,IMPS/REF737964
2026-02-06T17:10:15,ICICI ****9930,Amit Khan,SBI ****1188,Sunil Yadav,206345,UPI,428030852742
2026-02-13T17:53:19,ICICI ****9930,Amit Khan,HDFC ****8804 · MP Traders,MP Traders,198796,NEFT,NEFT/REF366661
2026-02-13T19:05:18,HDFC ****8804 · MP Traders,MP Traders,HDFC ****4471,Rahul Sharma,217453,NEFT,NEFT/REF487215
2026-02-18T08:07:50,SBI ****1188,Sunil Yadav,PNB ****3391,Farhan Ali,68272,UPI,475392603454
2026-02-19T09:26:16,SBI ****1188,Sunil Yadav,PNB ****3391,Farhan Ali,135271,UPI,431720875169
2026-03-01T00:47:24,ICICI ****9930,Amit Khan,SBI ****1188,Sunil Yadav,283465,UPI,457973577229
2026-03-02T10:14:00,SBI ****1188,Sunil Yadav,Kotak ****9021,Salim Sheikh,180000,UPI,428817263551
2026-03-04T16:40:00,Kotak ****9021,Salim Sheikh,PNB ****7742,Rehana Sheikh,95000,IMPS,IMPS/771203/CR
2026-03-06T19:22:00,Kotak ****9021,Salim Sheikh,BOB ****5561,Manoj Tiwari,120000,UPI,428990013277
2026-03-08T08:05:31,SBI ****1188,Sunil Yadav,Kotak ****7742,Deepak Verma,71254,IMPS,IMPS/REF191119
2026-03-08T12:05:00,PNB ****7742,Rehana Sheikh,HDFC ****4471,Rahul Sharma,60000,NEFT,NEFT/AX55210
